Name,Alias,IATA,ICAO,call_sign,Country,Active,child_price_rate,
Air Brousse,\N,,ABT,AIR BROUSSE,Canada,N,0.3,
Air Contractors,\N,AG,ABR,CONTRACT,Ireland,N,0.3,
Air Illinois,\N,,AIL,AIR ILLINOIS,United States,N,0.3,
Air India Limited,\N,AI,AIC,AIRINDIA,India,Y,0.3,
Air Inter Gabon,\N,,AIG, ,Gabon,N,0.3,
Air Bourbon,\N,ZB,BUB,BOURBON,Reunion,Y,0.3,
Air Atlanta Icelandic,\N,CC,ABD,ATLANTA,Iceland,Y,0.3,
Air Inuit,\N,,AIE,AIR INUIT,Canada,N,0.3,
Air Sureste,\N,,AIS,SURESTE,Spain,N,0.3,
Air Srpska,\N,RB,SBK,Air Srpska,Bosnia and Herzegovina,N,0.3,
Air Tahiti Nui,\N,TN,THT,TAHITI AIRLINES,France,Y,0.3,
Airvias S/A Linhas Aereas,\N,,AIV,AIRVIAS,Brazil,N,0.3,
Aero Services Executive,\N,W4,BES,BIRD EXPRESS,France,N,0.3,
Atlantic Island Airways,\N,,AIW,TARTAN,Canada,N,0.3,
Aircruising Australia,\N,,AIX,CRUISER,Australia,N,0.3,
Aircrew Check and Training Australia,\N,,AIY,AIRCREW,Australia,N,0.3,
Arkia Israel Airlines,\N,IZ,AIZ,ARKIA,Israel,Y,0.3,
A J Services,\N,,AJA,AYJAY SERVICES,United Kingdom,N,0.3,
Aero JBR,\N,,AJB,AERO JBR,Mexico,N,0.3,
Aero Jet Express,\N,,AJE,JET EXPRESS,Mexico,N,0.3,
Avia Consult Flugbetriebs,\N,,AJF,AVIACONSULT,Austria,N,0.3,
Ameristar Jet Charter,\N,,AJI,AMERISTAR,United States,N,0.3,
A2 Jet Leasing,\N,,AJJ,ATLANTIC JET,United States,N,0.3,
Allied Air,\N,,AJK,BAMBI,Nigeria,N,0.3,
Air Jamaica,\N,JM,AJM,JAMAICA,Jamaica,Y,0.3,
Air One,\N,AP,ADH,HERON,Italy,Y,0.3,
Air Sahara,\N,S2,RSH,SAHARA,India,Y,0.3,
Air Malta,\N,KM,AMC,AIR MALTA,Malta,Y,0.3,
Aeroejecutivo,\N,,AJO,AEROEXO,Mexico,N,0.3,
Aero Jets Corporativos,\N,,AJP,AEROJETS,Mexico,N,0.3,
Aeroejecutivos Colombia,\N,,AJS,AEROEJECUTIVOS,Colombia,N,0.3,
Amerijet International,\N,M6,AJT,AMERIJET,United States,N,0.3,
Air Jetsul,\N,,AJU,AIRJETSUL,Portugal,N,0.3,
ANA & JP Express,\N,,AJV,AYJAY CARGO,Japan,N,0.3,
Alpha Jet International,\N,,AJW,ALPHAJET,United States,N,0.3,
Air Japan,\N,NQ,AJX,AIR JAPAN,Japan,Y,0.3,
Ajet,\N,,AJY,AYJET,Cyprus,N,0.3,
Air Korea Co. Ltd.,\N,,AKA,,Republic of Korea,Y,0.3,
Air Livonia,\N,,LIV,LIVONIA,Estonia,N,0.3,
Air BC,\N,,ABL,AIRCOACH,Canada,N,0.3,
Air Fret Senegal,\N,,ABN, ,Senegal,N,0.3,
Air Jamahiriya Company,\N,,LJA,AIR JAMAHIRIYA,Libya,N,0.3,
Aktjubavia,\N,,AKB,KARAB,Kazakhstan,N,0.3,
Arca Aerovias Colombianas Ltda.,\N,,AKC,ARCA,Colombia,N,0.3,
Anikay Air Company,\N,,AKF,ANIKAY,Kyrgyzstan,N,0.3,
Akhal,\N,,AKH,AKHAL,Turkmenistan,N,0.3,
Aeromilenio,\N,,MNI,AEROMIL,Mexico,N,0.3,
Aklak Air,\N,,AKK,AKLAK,Canada,N,0.3,
Air Kiribati,\N,4A,AKL,,Kiribati,Y,0.3,
Alkan Air,\N,,AKN,ALKAN AIR,Canada,N,0.3,
Angkor Airways,\N,,AKW,ANGKORWAYS,Cambodia,N,0.3,
Air Nippon Network Co. Ltd.,\N,EH,AKX,ALFA WING,Japan,N,0.3,
AK Navigator LLC,\N,,AKZ,ABSOLUTE,Kazakhstan,N,0.3,
Aero Albatros,\N,,ALB,ALBATROS,Mexico,N,0.3,
Albion Aviation,\N,,ALD,ALBION,United Kingdom,N,0.3,
Aeroalas Colombia,\N,,ALE,AEROALAS,Colombia,N,0.3,
Allied Command Europe (Mobile Force),\N,,ALF,ACEFORCE,Belgium,N,0.3,
Aerotaxis Albatros,\N,,BTS,AEROLINEAS ALBATROS,Mexico,N,0.3,
American Flyers,\N,,FYS,AMERICAN FLYERS,United States,N,0.3,
Aero Coach Aviation,\N,,DFA,AERO COACH,United States,N,0.3,
Atlantic Southeast Airlines,\N,,CAA,Chandler,United States,N,0.3,
ACM Air Charter,\N,,BVR,BAVARIAN,Germany,N,0.3,
Air Logistics,\N,,ALG,AIRLOG,United States,N,0.3,
Aerovallarta,\N,,ALL,VALLARTA,Mexico,N,0.3,
