name,alias,iata,icao,call_sign,country,active,active_2,child_price_rate,
Airport Helicopter Basel,\N,,AHE, Muller & Co.,AIRPORT HELICOPTER,false,N,0.3,
Aeroservices Corporate,\N,,CJE,BIRD JET,France,false,N,0.3,
Aspen Helicopters,\N,,AHF,ASPEN,United States,false,N,0.3,
Aerochago Airlines,\N,,AHG,AEROCHAGO,Dominican Republic,false,N,0.3,
Airplanes Holdings,\N,,AHH,AIRHOLD,Ireland,false,N,0.3,
Air Hong Kong,\N,LD,AHK,AIR HONG KONG,Hong Kong,false,N,0.3,
Aerochiapas,\N,,AHP,AEROCHIAPAS,Mexico,false,N,0.3,
Air Adriatic,\N,,AHR,ADRIATIC,Croatia,false,N,0.3,
Air Viggi San Raffaele,\N,,AHS,AIRSAR,Italy,false,N,0.3,
ABC Air Hungary,\N,,AHU,ABC HUNGARY,Hungary,false,N,0.3,
Aeromist-Kharkiv,\N,HT,AHW,AEROMIST,Ukraine,false,N,0.3,
Azerbaijan Airlines,\N,J2,AHY,AZAL,Azerbaijan,true,Y,0.3,
Avies,\N,U3,AIA,AVIES,Estonia,true,Y,0.3,
Airbus Industrie,\N,AP,AIB,AIRBUS INDUSTRIE,France,false,N,0.3,
Alpine Air Chile,\N,,AIH,ALPINE CHILE,Chile,false,N,0.3,
Air Integra,\N,,AII,INTEGRA,Canada,false,N,0.3,
ABC Aerolineas,\N,,AIJ,ABC AEROLINEAS,Mexico,false,N,0.3,
African Airlines International Limited,\N,,AIK,AFRICAN AIRLINES,Kenya,false,N,0.3,
African International Airways,\N,,AIN,FLY CARGO,Swaziland,false,N,0.3,
Alpine Air Express,\N,5A,AIP,ALPINE AIR,United States,false,N,0.3,
Alicante Internacional Airlines,\N,,AIU,ALIA,Spain,false,N,0.3,
Aba Air,\N,,ABP,BAIR,Czech Republic,false,N,0.3,
Airblue,\N,ED,ABQ,PAKBLUE,Pakistan,true,Y,0.3,
Airmark Aviation,\N,,THM,THAI AIRMARK,Thailand,false,N,0.3,
Airlift International,\N,,AIR,AIRLIFT,United States,true,Y,0.3,
Airest,\N,,AIT, ,Estonia,false,N,0.3,
Air Baffin,\N,,BFF,AIR BAFFIN,Canada,false,N,0.3,
Air Bandama,\N,,BDM,BANDAMA,Ivory Coast,false,N,0.3,
Air Berlin,\N,AB,BER,AIR BERLIN,Germany,true,Y,0.3,
Air Brousse,\N,,ABT,AIR BROUSSE,Canada,false,N,0.3,
Air Contractors,\N,AG,ABR,CONTRACT,Ireland,false,N,0.3,
Air Illinois,\N,,AIL,AIR ILLINOIS,United States,false,N,0.3,
Air India Limited,\N,AI,AIC,AIRINDIA,India,true,Y,0.3,
Air Inter Gabon,\N,,AIG, ,Gabon,false,N,0.3,
Air Bourbon,\N,ZB,BUB,BOURBON,Reunion,true,Y,0.3,
Air Atlanta Icelandic,\N,CC,ABD,ATLANTA,Iceland,true,Y,0.3,
Air Inuit,\N,,AIE,AIR INUIT,Canada,false,N,0.3,
Air Sureste,\N,,AIS,SURESTE,Spain,false,N,0.3,
Air Srpska,\N,RB,SBK,Air Srpska,Bosnia and Herzegovina,false,N,0.3,
Air Tahiti Nui,\N,TN,THT,TAHITI AIRLINES,France,true,Y,0.3,
Airvias S/A Linhas Aereas,\N,,AIV,AIRVIAS,Brazil,false,N,0.3,
Aero Services Executive,\N,W4,BES,BIRD EXPRESS,France,false,N,0.3,
Atlantic Island Airways,\N,,AIW,TARTAN,Canada,false,N,0.3,
Aircruising Australia,\N,,AIX,CRUISER,Australia,false,N,0.3,
Aircrew Check and Training Australia,\N,,AIY,AIRCREW,Australia,false,N,0.3,
Arkia Israel Airlines,\N,IZ,AIZ,ARKIA,Israel,true,Y,0.3,
A J Services,\N,,AJA,AYJAY SERVICES,United Kingdom,false,N,0.3,
Aero JBR,\N,,AJB,AERO JBR,Mexico,false,N,0.3,
Aero Jet Express,\N,,AJE,JET EXPRESS,Mexico,false,N,0.3,
Avia Consult Flugbetriebs,\N,,AJF,AVIACONSULT,Austria,false,N,0.3,
Ameristar Jet Charter,\N,,AJI,AMERISTAR,United States,false,N,0.3,
A2 Jet Leasing,\N,,AJJ,ATLANTIC JET,United States,false,N,0.3,
Allied Air,\N,,AJK,BAMBI,Nigeria,false,N,0.3,
Air Jamaica,\N,JM,AJM,JAMAICA,Jamaica,true,Y,0.3,
Air One,\N,AP,ADH,HERON,Italy,true,Y,0.3,
Air Sahara,\N,S2,RSH,SAHARA,India,true,Y,0.3,
Air Malta,\N,KM,AMC,AIR MALTA,Malta,true,Y,0.3,
Aeroejecutivo,\N,,AJO,AEROEXO,Mexico,false,N,0.3,
Aero Jets Corporativos,\N,,AJP,AEROJETS,Mexico,false,N,0.3,
Aeroejecutivos Colombia,\N,,AJS,AEROEJECUTIVOS,Colombia,false,N,0.3,
Amerijet International,\N,M6,AJT,AMERIJET,United States,false,N,0.3,
Air Jetsul,\N,,AJU,AIRJETSUL,Portugal,false,N,0.3,
ANA & JP Express,\N,,AJV,AYJAY CARGO,Japan,false,N,0.3,
Alpha Jet International,\N,,AJW,ALPHAJET,United States,false,N,0.3,
Air Japan,\N,NQ,AJX,AIR JAPAN,Japan,true,Y,0.3,
Ajet,\N,,AJY,AYJET,Cyprus,false,N,0.3,
Air Korea Co. Ltd.,\N,,AKA,,Republic of Korea,true,Y,0.3,
Air Livonia,\N,,LIV,LIVONIA,Estonia,false,N,0.3,
Air BC,\N,,ABL,AIRCOACH,Canada,false,N,0.3,
Air Fret Senegal,\N,,ABN, ,Senegal,false,N,0.3,
Air Jamahiriya Company,\N,,LJA,AIR JAMAHIRIYA,Libya,false,N,0.3,
Aktjubavia,\N,,AKB,KARAB,Kazakhstan,false,N,0.3,
Arca Aerovias Colombianas Ltda.,\N,,AKC,ARCA,Colombia,false,N,0.3,
Anikay Air Company,\N,,AKF,ANIKAY,Kyrgyzstan,false,N,0.3,
Akhal,\N,,AKH,AKHAL,Turkmenistan,false,N,0.3,
Aeromilenio,\N,,MNI,AEROMIL,Mexico,false,N,0.3,
Aklak Air,\N,,AKK,AKLAK,Canada,false,N,0.3,
Air Kiribati,\N,4A,AKL,,Kiribati,true,Y,0.3,
Alkan Air,\N,,AKN,ALKAN AIR,Canada,false,N,0.3,
Angkor Airways,\N,,AKW,ANGKORWAYS,Cambodia,false,N,0.3,
Air Nippon Network Co. Ltd.,\N,EH,AKX,ALFA WING,Japan,false,N,0.3,
AK Navigator LLC,\N,,AKZ,ABSOLUTE,Kazakhstan,false,N,0.3,
Aero Albatros,\N,,ALB,ALBATROS,Mexico,false,N,0.3,
Albion Aviation,\N,,ALD,ALBION,United Kingdom,false,N,0.3,
Aeroalas Colombia,\N,,ALE,AEROALAS,Colombia,false,N,0.3,
Allied Command Europe (Mobile Force),\N,,ALF,ACEFORCE,Belgium,false,N,0.3,
Aerotaxis Albatros,\N,,BTS,AEROLINEAS ALBATROS,Mexico,false,N,0.3,
American Flyers,\N,,FYS,AMERICAN FLYERS,United States,false,N,0.3,
Aero Coach Aviation,\N,,DFA,AERO COACH,United States,false,N,0.3,
Atlantic Southeast Airlines,\N,,CAA,Chandler,United States,false,N,0.3,
ACM Air Charter,\N,,BVR,BAVARIAN,Germany,false,N,0.3,
Air Logistics,\N,,ALG,AIRLOG,United States,false,N,0.3,
Aerovallarta,\N,,ALL,VALLARTA,Mexico,false,N,0.3,
Air ALM,\N,,ALM,ANTILLEAN,Netherlands Antilles,false,N,0.3,
Air Lincoln,\N,,ALN,CHICAGO LINCOLN,United States,false,N,0.3,
America West Airlines,\N,HP,AWE,CACTUS,United States,true,Y,0.3,
Air Wisconsin,\N,ZW,AWI,AIR WISCONSIN,United States,true,Y,0.3,
Aerotransporte de Carga Union,\N,,TNO,AEROUNION,Mexico,false,N,0.3,
Aero Taxis Cessna,\N,,TND,TAXIS CESSNA,Mexico,false,N,0.3,
Arizona Express Airlines,\N,,TMP,TEMPE,United States,false,N,0.3,
Tatarstan Airlines,\N,U9,TAK,TATARSTAN,Russia,true,Y,0.3,
Allegheny Commuter Airlines,\N,,ALO,ALLEGHENY,United States,true,Y,0.3,
Alpliner AG,\N,,ALP,ALPINER,Switzerland,false,N,0.3,
Altair Aviation (1986),\N,,ALQ,ALTAIR,Canada,false,N,0.3,
Air Luxor STP,\N,,ALU,LUXORJET,Sao Tome and Principe,false,N,0.3,
Alas de Venezuela,\N,,ALV,ALVEN,Venezuela,false,N,0.3,
Alas Nacionales,\N,,ALW, S.A.,ALNACIONAL,false,N,0.3,
Alyeska Air Service,\N,,ALY,ALYESKA,United States,false,N,0.3,
Alta Flights (Charters) Ltd.,\N,,ALZ, ,Canada,false,N,0.3,
Air Sunshine,\N,,RSI,AIR SUNSHINE,United States,true,Y,0.3,
ATMA,\N,,AMA,ADIK,Kazakhstan,false,N,0.3,
Aerolineas Medellin,\N,,AMD,AEROLINEAS MEDELLIN,Colombia,false,N,0.3,
Ameriflight,\N,,AMF,AMFLIGHT,United States,false,N,0.3,
Air Libert,\N,VD,,,France,true,Y,0.3,
Air Lithuania,\N,TT,KLA,KAUNAS,Lithuania,false,N,0.3,
Air Minas Linhas A,\N,,AMG,AIR MINAS,Brazil,false,N,0.3,
Alan Mann Helicopters Ltd.,\N,,AMH,MANN,United Kingdom,false,N,0.3,
Air Maldives,\N,,AMI,AIR MALDIVES,Maldives,false,N,0.3,
Aviation Amos,\N,,AMJ,AVIATION AMOS,Canada,false,N,0.3,
Amerer Air,\N,,AMK,AMER AIR,Austria,false,N,0.3,
Air Malawi,\N,QM,AML,MALAWI,Malawi,true,Y,0.3,
Aeroputul International Marculesti,\N,,AMM,AEROM,Moldova,false,N,0.3,
Air Montenegro,\N,,AMN,MONTENEGRO,Montenegro,false,N,0.3,
Air Montreal (Air Holdings Inc.),\N,,AMO,AIR MONTREAL,Canada,false,N,0.3,
Aero Transporte S.A. (ATSA),\N,,AMP,ATSA,Peru,false,N,0.3,
Aeromedicare Ltd.,\N,,AMQ,LIFELINE,United Kingdom,false,N,0.3,
Air Sicilia,\N,BM,,,Italy,true,Y,0.3,
Air Specialties Corporation,\N,,AMR,AIR AM,United States,false,N,0.3,
Air Muskoka,\N,,AMS,AIR MUSKOKA,Canada,false,N,0.3,
ATA Airlines,\N,,AMT,AMTRAN,United States,true,Y,0.3,
Air Macau,\N,NX,AMU,AIR MACAO,Macao,true,Y,0.3,
AMC Airlines,\N,,AMV,,Egypt,true,Y,0.3,
Air Midwest,\N,ZV,AMW,AIR MIDWEST,United States,false,N,0.3,
Air Seychelles,\N,HM,SEY,SEYCHELLES,Seychelles,true,Y,0.3,
